"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","*ADIONG, ABDULMALIK MAGANGCONG      MIKE                                LAKAS NUCD-UMDP            0                  No date of Proclamation","1/9","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 0",NA,"*ADIONG, ABDULMALIK MAGANGCONG",NA,NA
"2","ALONTO, ABDULGAFFUR MADKI ALANGADI DICK                                INDEPENDENT              34,743","1/9","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 34,743",NA,"ALONTO, ABDULGAFFUR MADKI ALANGADI DICK","",TRUE
"3","DIANALAN, JIAMIL MARUHOM           JIMMY                               NPC                      16,879","1/9","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 16,879",NA,"DIANALAN, JIAMIL MARUHOM","NPC",TRUE
"4","BATUA, ARKIA ALOZ-NUSKA            BERT                                NP                       2,891","1/9","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 2,891",NA,"BATUA, ARKIA ALOZ-NUSKA","NP",TRUE
"5","*BALINDONG, PANGALIAN MACAORAO      ALI                                 LAKAS NUCD-UMDP            0                  No date of Proclamation","1/9","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 0",NA,"*BALINDONG, PANGALIAN MACAORAO",NA,NA
"6","DIPATUAN, TAIB PALA MARANGIT       TANY                                LABAN (LDP)              23,258","1/9","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 23,258",NA,"DIPATUAN, TAIB PALA MARANGIT","LABAN (LDP)",TRUE
"7","LUCMAN, UNOTAN GURO                UNO                                 NPC                      10,280","1/9","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 10,280",NA,"LUCMAN, UNOTAN GURO","NPC",TRUE
"8","PALAWAN, SULTAN MAGDARA DIMAPENDEG MAG                                  LP                       650","1/9","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 650",NA,"PALAWAN, SULTAN MAGDARA DIMAPENDEG MAG","",TRUE
"9","MUTILAN, MAHID MIRA-ATO            MAHID                               NPC                      93,116   May 23,1995","1/9","LANAO DEL SUR","ARMM","governor",""," 93,116","May 23,1995","MUTILAN, MAHID MIRA-ATO","NPC",TRUE
"10","PANGARUNGAN, SAIDAMEN B.           SAIDI                               LAKAS NUCD-UMDP          56,168","1/9","LANAO DEL SUR","ARMM","governor",""," 56,168",NA,"PANGARUNGAN, SAIDAMEN B.","LAKAS NUCD-UMDP",TRUE
"11","PANGANDAMAN, NASSER CADIENTE       BOY                                 LAKAS NUCD-UMDP          48,311","1/9","LANAO DEL SUR","ARMM","governor",""," 48,311",NA,"PANGANDAMAN, NASSER CADIENTE","LAKAS NUCD-UMDP",TRUE
"12","DIMAPORO, SULTAN MOHAMMAD ALI      ALI                                 LAKAS NUCD-UMDP          23,895","1/9","LANAO DEL SUR","ARMM","governor",""," 23,895",NA,"DIMAPORO, SULTAN MOHAMMAD ALI","LAKAS NUCD-UMDP",TRUE
"13","ALAUYA ALIM, SAADUDDIN A.          ALIM                                INDEPENDENT              4,034","1/9","LANAO DEL SUR","ARMM","governor",""," 4,034",NA,"ALAUYA ALIM, SAADUDDIN A.","INDEPENDENT",TRUE
"14","PUMBAYA, ALIM KUNUG SINAB-SIDA     BAPAI SAMER                         INDEPENDENT              1,414","1/9","LANAO DEL SUR","ARMM","governor",""," 1,414",NA,"PUMBAYA, ALIM KUNUG SINAB-SIDA","INDEPENDENT",TRUE
"15","YAHYA, HADJI YUSOPH B.             SHIEK                               INDEPENDENT               415","1/9","LANAO DEL SUR","ARMM","governor",""," 415",NA,"YAHYA, HADJI YUSOPH B.","INDEPENDENT",TRUE
"16","LUCMAN, NORMALA ALONTO ACASUM      KINKY                               LAKAS NUCD-UMDP         100,895   May 23,1995","1/9","LANAO DEL SUR","ARMM","vice governor",""," 100,895","May 23,1995","LUCMAN, NORMALA ALONTO ACASUM","LAKAS NUCD-UMDP",TRUE
"17","UMPAR, OMAR BERTUD                 PILANDOK 31                         OMPIA                    44,854","1/9","LANAO DEL SUR","ARMM","vice governor",""," 31",NA,"UMPAR, OMAR BERTUD","OMPIA",TRUE
"18","MINDALANO, SULTAN ALI ALI          BEBOT                               PDP-LABAN                16,793","1/9","LANAO DEL SUR","ARMM","vice governor",""," 16,793",NA,"MINDALANO, SULTAN ALI ALI","PDP-LABAN",TRUE
"19","YAHYA, JAMIL D.                    MOTAWA                              INDEPENDENT              14,031","1/9","LANAO DEL SUR","ARMM","vice governor",""," 14,031",NA,"YAHYA, JAMIL D.","INDEPENDENT",TRUE
"20","MAPUPUNO, KHALIL OGA MANGARUN      AL-AMIN                             LAKAS NUCD-UMDP          11,219","1/9","LANAO DEL SUR","ARMM","vice governor",""," 11,219",NA,"MAPUPUNO, KHALIL OGA MANGARUN","LAKAS NUCD-UMDP",TRUE
"21","PANDAPATAN, JAMIL MARABUR          PANDAPAT                            LAKAS NUCD-UMDP          55,793   May 23,1995","1/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 55,793","May 23,1995","PANDAPATAN, JAMIL MARABUR","LAKAS NUCD-UMDP",TRUE
"22","BUBONG, MINOMA PANGADAPUN          HADJI MALIK                         LAKAS NUCD-UMDP          41,310   May 23,1995","1/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 41,310","May 23,1995","BUBONG, MINOMA PANGADAPUN","LAKAS NUCD-UMDP",TRUE
"23","TAGO, PAISALIN PANGANDAMAN         POPOY                               LAKAS NUCD-UMDP          39,720   May 23,1995","1/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 39,720","May 23,1995","TAGO, PAISALIN PANGANDAMAN","LAKAS NUCD-UMDP",TRUE
"24","TOMAWIS, SHIEK HARON PANGO-ALIP             HARON                               LAKAS NUCD-UMDP          29,033","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 29,033",NA,"TOMAWIS, SHIEK HARON PANGO-ALIP","LAKAS NUCD-UMDP",TRUE
"25","DIAMLA, MUSAH ABDULGAFFAR KHADJIDIA SULTAN  HUSTANG                             INDEPENDENT              25,494","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 25,494",NA,"DIAMLA, MUSAH ABDULGAFFAR KHADJIDIA SULTAN  HUSTANG","",TRUE
"26","BAYABAO, ACAS TALA                          CASS                                LAKAS NUCD-UMDP          24,033","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 24,033",NA,"BAYABAO, ACAS TALA","LAKAS NUCD-UMDP",TRUE
"27","GURO, SULTAN MONCADO BOROA                  BOROWA                              LAKAS NUCD-UMDP          20,470","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 20,470",NA,"GURO, SULTAN MONCADO BOROA","LAKAS NUCD-UMDP",TRUE
"28","MIMBALAWAG, ALEM MANSAWI MARUHOM            DARIDAY                             INDEPENDENT              20,122","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 20,122",NA,"MIMBALAWAG, ALEM MANSAWI MARUHOM","INDEPENDENT",TRUE
"29","LOMONDOT, ABDULAZIZ MAMALAMPAC              ABET                                LAKAS NUCD-UMDP          19,161","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 19,161",NA,"LOMONDOT, ABDULAZIZ MAMALAMPAC","LAKAS NUCD-UMDP",TRUE
"30","SHARIIF, FAROUK R. -                        -                                   LAKAS NUCD-UMDP          18,783","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 18,783",NA,"SHARIIF, FAROUK R. -","",TRUE
"31","SULTAN, HASSAN MACARADI                     ALEEM                               LAKAS NUCD-UMDP          15,152","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 15,152",NA,"SULTAN, HASSAN MACARADI","LAKAS NUCD-UMDP",TRUE
"32","MAGUINDANAO-MARANTAO, SALIC BANTO           MARANTAO                            LAKAS NUCD-UMDP          14,747","2/9","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 14,747",NA,"MAGUINDANAO-MARANTAO, SALIC BANTO","LAKAS NUCD-UMDP",TRUE
