"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ZAPATA, JEREMIAS ZAPATA          JERING                               LAKAS NUCD-UMDP         54,823   May 11,1995","1/11","ABRA","CAR","congressman",NA," 54,823","May 11,1995","ZAPATA, JEREMIAS ZAPATA","LAKAS NUCD-UMDP",TRUE
"2","TEJERO, DIONISIO AQUIAS          DIONY                                INDEPENDENT             12,719","1/11","ABRA","CAR","congressman",NA," 12,719",NA,"TEJERO, DIONISIO AQUIAS","INDEPENDENT",TRUE
"3","VALERA, GIL ASTUDILLO            GIL                                  NPC                     6,523","1/11","ABRA","CAR","congressman",NA," 6,523",NA,"VALERA, GIL ASTUDILLO","NPC",TRUE
"4","VALERA, VICENTE YSIDRO P.        VIC-SYD                              LAKAS NUCD-UMDP         72,410   May 11,1995","1/11","ABRA","CAR","governor",""," 72,410","May 11,1995","VALERA, VICENTE YSIDRO P.","LAKAS NUCD-UMDP",TRUE
"5","VENUS, CONRADO BELMES            ORING                                 LP                     7,164","1/11","ABRA","CAR","governor",""," 7,164",NA,"VENUS, CONRADO BELMES","LP",TRUE
"6","CULANGEN, CONSTANTE BAYLON       TANTE                                LAKAS NUCD-UMDP         36,104   May 11,1995","1/11","ABRA","CAR","vice governor",""," 36,104","May 11,1995","CULANGEN, CONSTANTE BAYLON","LAKAS NUCD-UMDP",TRUE
"7","DAMASEN-BONTIA, MARLYN M.        INDIMAN                              NPC                     28,969","1/11","ABRA","CAR","vice governor",""," 28,969",NA,"DAMASEN-BONTIA, MARLYN M.","NPC",TRUE
"8","SEARES, ROBERT LIZARDO           BANTING                               LP                     13,565","1/11","ABRA","CAR","vice governor",""," 13,565",NA,"SEARES, ROBERT LIZARDO","LP",TRUE
"9","BIDES, ELMER B.                  BOBOT                                LAKAS NUCD-UMDP         14,949   May 11,1995","1/11","ABRA","CAR","board member","1ST DISTRICT"," 14,949","May 11,1995","BIDES, ELMER B.","LAKAS NUCD-UMDP",TRUE
"10","BEROÑA, DEMETRIO J.              DR.CHING BEROÑA                      LAKAS NUCD-UMDP         13,013   May 11,1995","1/11","ABRA","CAR","board member","1ST DISTRICT"," 13,013","May 11,1995","BEROÑA, DEMETRIO J.","LAKAS NUCD-UMDP",TRUE
"11","CARDENAS, PURRUGGANAN DALIPOG    INNAN                                LAKAS NUCD-UMDP         10,701   May 11,1995","1/11","ABRA","CAR","board member","1ST DISTRICT"," 10,701","May 11,1995","CARDENAS, PURRUGGANAN DALIPOG","LAKAS NUCD-UMDP",FALSE
"12","DUMLAO, JUAN JR. PILAR           JR.                                  LAKAS NUCD-UMDP         10,007   May 11,1995","1/11","ABRA","CAR","board member","1ST DISTRICT"," 10,007","May 11,1995","DUMLAO, JUAN JR. PILAR","LAKAS NUCD-UMDP",TRUE
"13","LUBEN, FRED CARINO               EBLOG                                NPC                     8,170","1/11","ABRA","CAR","board member","1ST DISTRICT"," 8,170",NA,"LUBEN, FRED CARINO","NPC",TRUE
"14","GONZALES, LAUREANO JR. C.        DR.LORY                              NPC                     7,834","1/11","ABRA","CAR","board member","1ST DISTRICT"," 7,834",NA,"GONZALES, LAUREANO JR. C.","NPC",TRUE
"15","FELINA, GODOFREDO B.             GODI                                 NPC                     7,558","1/11","ABRA","CAR","board member","1ST DISTRICT"," 7,558",NA,"FELINA, GODOFREDO B.","NPC",TRUE
"16","PARIÑAS, LEVI BOSE               LEVI'S                               LABAN (LDP)             7,280","1/11","ABRA","CAR","board member","1ST DISTRICT"," 7,280",NA,"PARIÑAS, LEVI BOSE","LABAN (LDP)",TRUE
