"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","NIEVA, ERNESTO A.              BARZAI                              LAMMP                    65,136   May 20,1998","1/9","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 65,136","May 20,1998","NIEVA, ERNESTO A.","LAMMP",TRUE
"2","DIONISIO, ERNESTO G.           DIONIA                              LP                       46,942","1/9","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 46,942",NA,"DIONISIO, ERNESTO G.","LP",TRUE
"3","SESE, ROBERTO S.               DOCTOR/DOC                          LAMMP                    13,433","1/9","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 13,433",NA,"SESE, ROBERTO S.","LAMMP",TRUE
"4","LOPEZ, HONORIO II U.           BOYLO                               LAKAS NUCD-UMDP          7,365","1/9","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 7,365",NA,"LOPEZ, HONORIO II U.","LAKAS NUCD-UMDP",TRUE
"5","MABASA, PERCIVAL C.            PERCY/LAPID                         KBL                       249","1/9","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 249",NA,"MABASA, PERCIVAL C.","KBL",TRUE
"6","LIGUIDLIGUID, ABRAHAM E.       ABE                                 KBL                       121","1/9","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 121",NA,"LIGUIDLIGUID, ABRAHAM E.","KBL",TRUE
"7","PONCE, NESTOR JR. C.           JUN NESTOR/NES                      LP                       34,068   May 20,1998","1/9","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 34,068","May 20,1998","PONCE, NESTOR JR. C.","LP",TRUE
"8","BELTRAN, NATALIO JR. M.        PUTI                                NPC                      28,850","1/9","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 28,850",NA,"BELTRAN, NATALIO JR. M.","NPC",TRUE
"9","CONCEPCION, FLAVIANO JR. F.    JHUN                                LAKAS NUCD-UMDP          26,841","1/9","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 26,841",NA,"CONCEPCION, FLAVIANO JR. F.","",TRUE
"10","LIM, ALBERTO B.                ALBERT                              LAMMP                    6,709","1/9","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 6,709",NA,"LIM, ALBERTO B.","LAMMP",TRUE
"11","REYES, GERTRUDES T.            TUDING/TRUDIS                       REPORMA                   256","1/9","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 256",NA,"REYES, GERTRUDES T.","REPORMA",TRUE
"12","ANGPING, HARRY C.              HARRY                               LAMMP                    39,424   May 21,1998","1/9","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 39,424","May 21,1998","ANGPING, HARRY C.","LAMMP",TRUE
"13","LOPEZ, JHOSEP Y.               JOE                                 LP                       34,387","1/9","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 34,387",NA,"LOPEZ, JHOSEP Y.","LP",TRUE
"14","ZARCAL, MANUEL M.              LET-LET                             LAKAS NUCD-UMDP          15,115","1/9","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 15,115",NA,"ZARCAL, MANUEL M.","LAKAS NUCD-UMDP",TRUE
"15","ROCES, JOAQUIN G.              JACK                                LAMMP                    4,727","1/9","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 4,727",NA,"ROCES, JOAQUIN G.","LAMMP",TRUE
"16","BACANI, RODOLFO C.             RUDY                                LP                       43,643   May 21,1998","1/9","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 43,643","May 21,1998","BACANI, RODOLFO C.","LP",TRUE
"17","MELENDEZ, VICTORIANO A.        VIC                                 LAMMP                    39,384","1/9","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 39,384",NA,"MELENDEZ, VICTORIANO A.","LAMMP",TRUE
"18","DIOKNO, ERNESTO L.             TOTOY                               LAKAS NUCD-UMDP          33,858","1/9","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 33,858",NA,"DIOKNO, ERNESTO L.","LAKAS NUCD-UMDP",TRUE
"19","AGUILA, SALVACION C.           SALLY                               REPORMA                   486","1/9","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 486",NA,"AGUILA, SALVACION C.","REPORMA",TRUE
"20","SANTIAGO, DOUGLAS V.           BOBBY                               KBL                       404","1/9","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 404",NA,"SANTIAGO, DOUGLAS V.","KBL",TRUE
"21","HIZON, JOEY D.                 JOEY                                LP                       64,023   May 21,1998","1/9","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 64,023","May 21,1998","HIZON, JOEY D.","LP",TRUE
"22","ESPIRITU, FELIXBERTO D.        FELIX                               LAMMP                    34,347","1/9","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 34,347",NA,"ESPIRITU, FELIXBERTO D.","LAMMP",TRUE
"23","PUYAT, GONZALO II G.           LITO                                LAKAS NUCD-UMDP          4,293","1/9","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 4,293",NA,"PUYAT, GONZALO II G.","LAKAS NUCD-UMDP",TRUE
