"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BANAAG, LEOVIGILDO B.           BOY                                 LDP                      42,584   May 17,2001","1/8","AGUSAN DEL NORTE","CARAGA","congressman","1ST DISTRICT"," 42,584","May 17,2001","BANAAG, LEOVIGILDO B.","LDP",TRUE
"2","PLAZA, CHARITO B.               CHING                               LAKAS NUCD-UMDP          38,807","1/8","AGUSAN DEL NORTE","CARAGA","congressman","1ST DISTRICT"," 38,807",NA,"PLAZA, CHARITO B.","LAKAS NUCD-UMDP",TRUE
"3","AMANTE, EDELMIRO A.             EDEL                                LAKAS NUCD-UMDP          52,010   May 18,2001","1/8","AGUSAN DEL NORTE","CARAGA","congressman","2ND DISTRICT"," 52,010","May 18,2001","AMANTE, EDELMIRO A.","LAKAS NUCD-UMDP",TRUE
"4","LIBARIOS, ROAN I.               ROAN                                LAKAS NUCD-UMDP          41,339","1/8","AGUSAN DEL NORTE","CARAGA","congressman","2ND DISTRICT"," 41,339",NA,"LIBARIOS, ROAN I.","LAKAS NUCD-UMDP",TRUE
"5","GENITE, ERLINDA V.              LINDA                               LAMMP                      50","1/8","AGUSAN DEL NORTE","CARAGA","congressman","2ND DISTRICT"," 50",NA,"GENITE, ERLINDA V.","LAMMP",TRUE
"6","AMANTE, MA. ANGELICA ROSEDEL M. ANGEL                               LAKAS NUCD-UMDP          65,144   May 18,2001","1/8","AGUSAN DEL NORTE","CARAGA","governor",""," 65,144","May 18,2001","AMANTE, MA. ANGELICA ROSEDEL M. ANGEL","",TRUE
"7","LIBARIOS, SHELLAH MARIA M.      SHELLAH                             PPC                      35,638","1/8","AGUSAN DEL NORTE","CARAGA","governor",""," 35,638",NA,"LIBARIOS, SHELLAH MARIA M.","PPC",TRUE
"8","GARCIA, REYNALDO M.             REY                                 INDEPENDENT              6,499","1/8","AGUSAN DEL NORTE","CARAGA","governor",""," 6,499",NA,"GARCIA, REYNALDO M.","INDEPENDENT",TRUE
"9","QUIAMJOT, GERARDO C.            GERRY                               INDEPENDENT                43","1/8","AGUSAN DEL NORTE","CARAGA","governor",""," 43",NA,"QUIAMJOT, GERARDO C.","INDEPENDENT",TRUE
"10","TEJANO, ROBERTO T.              BOB                                 LAKAS NUCD-UMDP          58,027   May 18,2001","1/8","AGUSAN DEL NORTE","CARAGA","vice governor",""," 58,027","May 18,2001","TEJANO, ROBERTO T.","LAKAS NUCD-UMDP",TRUE
"11","BARROQUILLO, JESUS JR. A.       JUN, BAROK                          PPC                      30,893","1/8","AGUSAN DEL NORTE","CARAGA","vice governor",""," 30,893",NA,"BARROQUILLO, JESUS JR. A.","PPC",TRUE
"12","DE ASIS, ROBERTO B.             BERT                                LDP                      1,982","1/8","AGUSAN DEL NORTE","CARAGA","vice governor",""," 1,982",NA,"DE ASIS, ROBERTO B.","LDP",TRUE
"13","ROSALES, FRANCISCO J.           INGKOY                              LAKAS NUCD-UMDP          3,111    May 18,2001","1/8","AGUSAN DEL NORTE","CARAGA","board member","1ST DISTRICT"," 3,111","May 18,2001","ROSALES, FRANCISCO J.","LAKAS NUCD-UMDP",TRUE
"14","MERCADO, MAMERTO M.             MAMER                               PPC                      2,494","1/8","AGUSAN DEL NORTE","CARAGA","board member","1ST DISTRICT"," 2,494",NA,"MERCADO, MAMERTO M.","PPC",TRUE
"15","CORVERA, DALE B.                DEL                                 LAKAS NUCD-UMDP          42,574   May 18,2001","1/8","AGUSAN DEL NORTE","CARAGA","board member","2ND DISTRICT"," 42,574","May 18,2001","CORVERA, DALE B.","LAKAS NUCD-UMDP",TRUE
