"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","LIBANAN, MARCELINO C.            NONOY                            NPC                      60,661   May 19,2001","1/11","EASTERN SAMAR","08","congressman",NA," 60,661","May 19,2001","LIBANAN, MARCELINO C.","NPC",TRUE
"2","VILLACARILLO, EMILIANA P.        EWIT                             LAKAS NUCD-UMDP          43,754","1/11","EASTERN SAMAR","08","congressman",NA," 43,754",NA,"VILLACARILLO, EMILIANA P.","LAKAS NUCD-UMDP",TRUE
"3","SOLIDON, ELMER C.                ELMER                            LDP                      11,464","1/11","EASTERN SAMAR","08","congressman",NA," 11,464",NA,"SOLIDON, ELMER C.","LDP",TRUE
"4","SALAZAR, CLOTILDE J.             TENDING                          NPC                      46,752   June 13,2001","1/11","EASTERN SAMAR","08","governor",""," 46,752","June 13,2001","SALAZAR, CLOTILDE J.","NPC",TRUE
"5","RAMIREZ, JOSE T.                 JTR                              LAKAS NUCD-UMDP          43,794","1/11","EASTERN SAMAR","08","governor",""," 43,794",NA,"RAMIREZ, JOSE T.","LAKAS NUCD-UMDP",TRUE
"6","AMBIL, RUPERTO JR. A.            PERTING                          LDP                      36,186","1/11","EASTERN SAMAR","08","governor",""," 36,186",NA,"AMBIL, RUPERTO JR. A.","LDP",TRUE
"7","SUYOT, FEDERICO B.               DICK                             NPC                      50,371   June 13,2001","1/11","EASTERN SAMAR","08","vice governor",""," 50,371","June 13,2001","SUYOT, FEDERICO B.","NPC",TRUE
"8","YU, GENEROSO A.                  COLON                            LAKAS NUCD-UMDP          43,946","1/11","EASTERN SAMAR","08","vice governor",""," 43,946",NA,"YU, GENEROSO A.","LAKAS NUCD-UMDP",TRUE
"9","BAGRO, CELERINO JR. B.           JOHAN                            LDP                      19,991","1/11","EASTERN SAMAR","08","vice governor",""," 19,991",NA,"BAGRO, CELERINO JR. B.","LDP",TRUE
"10","GELI, LEANDER R.                 LEAN                             NPC                      26,982   June 13,2001","1/11","EASTERN SAMAR","08","board member","1ST DISTRICT"," 26,982","June 13,2001","GELI, LEANDER R.","NPC",TRUE
"11","OPINION, JOSE VICENTE RAYMUND M. JOVI                             NPC                      26,378   June 13,2001","1/11","EASTERN SAMAR","08","board member","1ST DISTRICT"," 26,378","June 13,2001","OPINION, JOSE VICENTE RAYMUND M. JOVI","",TRUE
"12","ALVAREZ, KAREN D.                KAREN                            NPC                      24,542   June 13,2001","1/11","EASTERN SAMAR","08","board member","1ST DISTRICT"," 24,542","June 13,2001","ALVAREZ, KAREN D.","NPC",TRUE
"13","BADIOLA, NORMA L.                NORMA                            NPC                      23,410   June 13,2001","1/11","EASTERN SAMAR","08","board member","1ST DISTRICT"," 23,410","June 13,2001","BADIOLA, NORMA L.","NPC",TRUE
