"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BUHAIN, ELENITA MILAGROS ERMITA EILEEN ERMITA                        LAKAS-CMD               149,249   May 14,2004","1/12","BATANGAS","04A","congressman","1ST DISTRICT"," 149,249","May 14,2004","BUHAIN, ELENITA MILAGROS ERMITA EILEEN ERMITA","",TRUE
"2","MENDOZA, VICTOR PONTILLAN       VIC                                  INDEPENDENT              6,456","1/12","BATANGAS","04A","congressman","1ST DISTRICT"," 6,456",NA,"MENDOZA, VICTOR PONTILLAN","INDEPENDENT",TRUE
"3","ILAO, ISIDRO CAISIP             ISI OR ICI                           INDEPENDENT              5,971","1/12","BATANGAS","04A","congressman","1ST DISTRICT"," 5,971",NA,"ILAO, ISIDRO CAISIP","INDEPENDENT",TRUE
"4","LAPARAN, ROLANDO SOCITO         ROLLY                                DGIPP                     622","1/12","BATANGAS","04A","congressman","1ST DISTRICT"," 622",NA,"LAPARAN, ROLANDO SOCITO","DGIPP",TRUE
"5","MANDANAS, HERMILANDO INGCO      GOV. DODO                            LP                      177,663   May 10,2004","1/12","BATANGAS","04A","congressman","2ND DISTRICT"," 177,663","May 10,2004","MANDANAS, HERMILANDO INGCO","LP",TRUE
"6","REYES, VICTORIA HERNANDEZ       VICKY                                LAKAS-CMD               114,531   May 13,2004","1/12","BATANGAS","04A","congressman","3RD DISTRICT"," 114,531","May 13,2004","REYES, VICTORIA HERNANDEZ","LAKAS-CMD",TRUE
"7","BATHAN, CARLOS ARRIOLA          KUYA CALOY                           LP                       47,933","1/12","BATANGAS","04A","congressman","3RD DISTRICT"," 47,933",NA,"BATHAN, CARLOS ARRIOLA","LP",TRUE
"8","NORA, GREGORIO SALAZAR          GREG                                 INDEPENDENT              28,375","1/12","BATANGAS","04A","congressman","3RD DISTRICT"," 28,375",NA,"NORA, GREGORIO SALAZAR","INDEPENDENT",TRUE
"9","SANTILLAN, JONATHAN W.          JONN SANTILLAN                       NPC                      5,847","1/12","BATANGAS","04A","congressman","3RD DISTRICT"," 5,847",NA,"SANTILLAN, JONATHAN W.","NPC",TRUE
"10","GOZOS, OSCAR LUCERO             OCA                                  LAKAS-CMD               171,623   May 15,2004","1/12","BATANGAS","04A","congressman","4TH DISTRICT"," 171,623","May 15,2004","GOZOS, OSCAR LUCERO","LAKAS-CMD",TRUE
"11","LINATOC, DONATO OCAMPO          DON                                  LP                       34,577","1/12","BATANGAS","04A","congressman","4TH DISTRICT"," 34,577",NA,"LINATOC, DONATO OCAMPO","LP",TRUE
"12","RECTO, RAMON ARRASTIA           MON                                  PMP                      13,309","1/12","BATANGAS","04A","congressman","4TH DISTRICT"," 13,309",NA,"RECTO, RAMON ARRASTIA","PMP",TRUE
"13","LLANES, MODESTO JR. BORJA       JUN                                  PDR-LM                    769","1/12","BATANGAS","04A","congressman","4TH DISTRICT"," 769",NA,"LLANES, MODESTO JR. BORJA","PDR-LM",TRUE
