"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","REYES, EDMUNDO JR. ONGSIAKO         PARENG EDMUND                       LAKAS-CMD                79,465   May 13,2004","1/10","MARINDUQUE","04B","congressman",NA," 79,465","May 13,2004","REYES, EDMUNDO JR. ONGSIAKO","LAKAS-CMD",TRUE
"2","REYES, CARMENCITA ONGSIAKO          DELEGADA                            LAKAS-CMD                53,709   May 13,2004","1/10","MARINDUQUE","04B","governor",""," 53,709","May 13,2004","REYES, CARMENCITA ONGSIAKO","LAKAS-CMD",TRUE
"3","CARRION, JOSE ANTONIO N.            BONG CARRION                        NPC                      17,727","1/10","MARINDUQUE","04B","governor",""," 17,727",NA,"CARRION, JOSE ANTONIO N.","NPC",TRUE
"4","MADLA, ROBERTO MERCENE              BERT                                PMP                      11,969","1/10","MARINDUQUE","04B","governor",""," 11,969",NA,"MADLA, ROBERTO MERCENE","PMP",TRUE
"5","LECAROZ, ROSA ENRIQUEZ              ROSIE                               INDEPENDENT              3,940","1/10","MARINDUQUE","04B","governor",""," 3,940",NA,"LECAROZ, ROSA ENRIQUEZ","INDEPENDENT",TRUE
"6","PALMA, LEANDRO CATAHUMBER           ANDY                                LAKAS-CMD                36,911   May 13,2004","1/10","MARINDUQUE","04B","vice governor",""," 36,911","May 13,2004","PALMA, LEANDRO CATAHUMBER","LAKAS-CMD",TRUE
"7","ANGELES, ADELINE MARCIANO           LYN                                 INDEPENDENT              26,017","1/10","MARINDUQUE","04B","vice governor",""," 26,017",NA,"ANGELES, ADELINE MARCIANO","INDEPENDENT",TRUE
"8","NEPOMUCENO, PEDRITO MADRIGAL        TOTO                                INDEPENDENT              7,207","1/10","MARINDUQUE","04B","vice governor",""," 7,207",NA,"NEPOMUCENO, PEDRITO MADRIGAL","INDEPENDENT",TRUE
"9","JAMILLA, SALVADOR BUÑAG             SBJ                                 INDEPENDENT              6,204","1/10","MARINDUQUE","04B","vice governor",""," 6,204",NA,"JAMILLA, SALVADOR BUÑAG","INDEPENDENT",TRUE
"10","GO, MELECIO J.                      MELGO                               INDEPENDENT              25,178   May 13,2004","1/10","MARINDUQUE","04B","board member","1ST DISTRICT"," 25,178","May 13,2004","GO, MELECIO J.","INDEPENDENT",TRUE
"11","LIM, JAIME JASPER LAO               JASPER                              INDEPENDENT              17,192   May 13,2004","1/10","MARINDUQUE","04B","board member","1ST DISTRICT"," 17,192","May 13,2004","LIM, JAIME JASPER LAO","INDEPENDENT",TRUE
"12","MONTE, LETICIA ANGELES              LETY                                INDEPENDENT              13,211   May 13,2004","1/10","MARINDUQUE","04B","board member","1ST DISTRICT"," 13,211","May 13,2004","MONTE, LETICIA ANGELES","INDEPENDENT",TRUE
